"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height
469609162775;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 40 / С хранения- 40- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;60000.0000;;;"Мощность трансформатора:40;Состояние:С хранения";;v1Fd7yl3uN591ZucO9Jh;360819276921;0;0;0;0
968628996078;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 63 / Новый- 63- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;105000.0000;;;"Мощность трансформатора:63;Состояние:Новый";;dflMGEUAbD34ptc5PbB6;360819276921;0;0;0;0
943569363923;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 63 / С хранения- 63- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;70000.0000;;;"Мощность трансформатора:63;Состояние:С хранения";;lRMYFAANJz0xhbIVhGz0;360819276921;0;0;0;0
380452055398;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / Новый- 100- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;130000.0000;;;"Мощность трансформатора:100;Состояние:Новый";;9kDajPkOGlRCjEEzM7ey;360819276921;0;0;0;0
128834008007;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / С хранения- 100- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;80000.0000;;;"Мощность трансформатора:100;Состояние:С хранения";;5pyUzDZHHIO9bo0SeULG;360819276921;0;0;0;0
990713314275;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 160 / Новый- 160- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;165000.0000;;;"Мощность трансформатора:160;Состояние:Новый";;8Ye3iIvf2ho4OVCV5LaO;360819276921;0;0;0;0
795137625365;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 160 / С хранения- 160- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;110000.0000;;;"Мощность трансформатора:160;Состояние:С хранения";;uMNEemZ5mBo5PZRU35bF;360819276921;0;0;0;0
145011894456;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 250 / Новый- 250- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;197000.0000;;;"Мощность трансформатора:250;Состояние:Новый";;9HEyDgLKCUEYme85aEoV;360819276921;0;0;0;0
492509559112;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 250 / С хранения- 250- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;130000.0000;;;"Мощность трансформатора:250;Состояние:С хранения";;pddnGEPCgnCJYPLBK0Ck;360819276921;0;0;0;0
539133615490;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 400 / Новый- 400- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;265000.0000;;;"Мощность трансформатора:400;Состояние:Новый";;tcRFj13dIvKniXLL52T6;360819276921;0;0;0;0
658817141666;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 400 / С хранения- 400- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;160000.0000;;;"Мощность трансформатора:400;Состояние:С хранения";;FcrDMyAHHAUZYrKAVu8S;360819276921;0;0;0;0
892746855730;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 630 / Новый- 630- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;355000.0000;;;"Мощность трансформатора:630;Состояние:Новый";;ShKgoplovVmg8uBl4ZXB;360819276921;0;0;0;0
740558303007;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 630 / С хранения- 630- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;250000.0000;;;"Мощность трансформатора:630;Состояние:С хранения";;xV5bxC3ZpvOBOafLaoCf;360819276921;0;0;0;0
388817612244;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 1250 / Новый- 1250- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;750000.0000;;;"Мощность трансформатора:1250;Состояние:Новый";;knB77PF3NlagpUnGbadJ;360819276921;0;0;0;0
355369309017;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 1600 / Новый- 1600- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;955000.0000;;;"Мощность трансформатора:1600;Состояние:Новый";;gjaV2b6knt0kscxMOrvR;360819276921;0;0;0;0
562490629135;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 1600 / С хранения- 1600- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;650000.0000;;;"Мощность трансформатора:1600;Состояние:С хранения";;e1BBUTuUKzVLOHVrmrPy;360819276921;0;0;0;0
982112732207;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 2500 / Новый- 2500- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;1490000.0000;;;"Мощность трансформатора:2500;Состояние:Новый";;yha0TMOg1jhcncHPgHeG;360819276921;0;0;0;0
795408754749;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 2500 / С хранения- 2500- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;950000.0000;;;"Мощность трансформатора:2500;Состояние:С хранения";;Zj6vSUjA9xvuFTJPnOHX;360819276921;0;0;0;0
235815221628;;;;"Комплектные трансформаторные подстанции";"Мачтовые КТП";;;https://static.tildacdn.com/tild6464-6563-4164-b462-386534653231/stp.jpg;80000.0000;;;;;yGuOBA4PyCEZduTFvg23;;0;0;0;0
995194384731;;;;"Комплектные трансформаторные подстанции";"Столбовые КТП";;;https://static.tildacdn.com/tild3330-6462-4664-b438-386431663262/_2.png;;;;;;53neypc0v076dxRKyOY4;;0;0;0;0
967081778018;;;;;"Столбовые КТП / Один столб- Один столб";;;https://static.tildacdn.com/tild3330-6462-4664-b438-386431663262/_2.png;80000.0000;;;"Выберите исполнение:Один столб";;nVzsDFLFFXeKyimLevrp;995194384731;0;0;0;0
146287898633;;;;;"Столбовые КТП / Два столба- Два столба";;;https://static.tildacdn.com/tild6239-3436-4262-b163-366638363364/1-2.jpg;95000.0000;;;"Выберите исполнение:Два столба";;3FUz4D7E6tXtRZtp2pAI;995194384731;0;0;0;0
515606297703;;;;"Комплектные трансформаторные подстанции";"Киосковые КТП";;;https://static.tildacdn.com/tild3931-6230-4465-a536-383938393338/KTP.jpg;;;;;;OTOfsXCiPeO0eMjjELPd;;0;0;0;0
936715425242;;;;;"Киосковые КТП / Тупиковые / С разъединителем (ВНА, РВЗ) по стороне ВН- Тупиковые- С разъединителем (ВНА, РВЗ) по стороне ВН";;;https://static.tildacdn.com/tild3931-6230-4465-a536-383938393338/KTP.jpg;180000.0000;;;"Выберите исполнение:Тупиковые;Тип исполнения:С разъединителем (ВНА, РВЗ) по стороне ВН";;c1yRHkSP9g7ue0NiAM69;515606297703;0;0;0;0
785730625817;;;;;"Киосковые КТП / Тупиковые / Без разъединителя (ВНА, РВЗ) по стороне ВН- Тупиковые- Без разъединителя (ВНА, РВЗ) по стороне ВН";;;https://static.tildacdn.com/tild3931-6230-4465-a536-383938393338/KTP.jpg;150000.0000;;;"Выберите исполнение:Тупиковые;Тип исполнения:Без разъединителя (ВНА, РВЗ) по стороне ВН";;2sJhgDipfKfTi3rOSb6M;515606297703;0;0;0;0
345623351261;;;;;"Киосковые КТП / Проходные / Базовое исполнение- Проходные- Базовое исполнение";;;https://static.tildacdn.com/tild3931-6230-4465-a536-383938393338/KTP.jpg;240000.0000;;;"Выберите исполнение:Проходные;Тип исполнения:Базовое исполнение";;8MNHKpFrPAYSrrEjfeBi;515606297703;0;0;0;0
193773550507;;;;;"Киосковые КТП / 2 КТП / Тупиковые- 2 КТП- Тупиковые";;;https://static.tildacdn.com/tild3931-6230-4465-a536-383938393338/KTP.jpg;450000.0000;;;"Выберите исполнение:2 КТП;Тип исполнения:Тупиковые";;byzsdDmm3ZMer5iNtKnF;515606297703;0;0;0;0
